Location,year,counts,offset,x1
f89b93ae,5,3,0.07215,0
352ce11a,5,4,0.04873,0
e27e8033,5,11,0.15478,6.441638752898738
1778258c,5,2,0.02907,33.11258278145695
954f2cb4,5,14,0.03082,0
cb173123,5,42,0.09576,30.97893432465923
ce5d1ed1,5,7,0.07615,0
118e2f5e,5,38,0.30756,22.625165648534214
bb345b03,5,21,0.05529,17.998560115190784
d7a280be,5,37,0.11336,0
5b08009a,5,2,0.08949,0
638a036c,5,4,0.016,0
a8cdc2c2,5,19,0.14232,35.43586109142452
6e97cded,5,9,1.32017,2.316673874096497
c3885694,5,19,0.20104,10.037641154328732
f4cdaee1,5,45,0.36468,13.671661380290933
377480be,5,24,0.16527,6.033546518643659
19deb977,5,9,0.05842,0
211eb2ae,5,14,0.03222,0
ab95b70d,5,0,0.01489,0
f526a4e0,5,0,0.06437,0
ecc34c2e,5,18,0.05625,87.36676568233443
e3e35fdb,5,2,0.00689,0
df31f97d,5,1,0.06987,0
e769f6fe,5,20,0.04581,44.04316229905307
5bc8b302,5,12,0.1951,5.191029900332226
79e354b2,5,2,0.09689,10.347682119205297
ff84071f,5,8,0.03952,0
a6484004,5,1,0.00815,0
20760acb,5,31,0.14175,21.082220660576247
52fd31d7,6,6,0.3074,403.9984726308407
3421b03c,6,0,0.07063,41.82933630786391
ff529e8f,6,0,0.00749,0
c304b52e,6,0,0.00515,366.9724770642202
ca72fd20,6,1,0.05813,440.6501626933105
6028e7b7,6,0,0.11528,110.93096680604147
fdb23048,6,0,0.02246,217.01388888888889
0f7c71d8,6,0,0.03441,431.2823461759632
34fe95a5,6,4,0.43753,402.4166404691078
11184bca,6,1,0.07399,67.66182565134345
aadc708f,6,0,0.08631,126.20468104635154
45e05b54,6,1,0.25074,12.107174397197987
056f421c,6,0,0.09246,32.174701396639684
525214eb,6,2,0.04018,758.218211381131
a33682bf,6,0,0.06064,265.2329772663943
be428bac,6,0,0.0997,50.32712632108707
8f3fe004,6,0,0.06795,554.016620498615
88d245ba,6,1,0.10457,114.97848449409146
72cd92d3,6,0,0.09709,81.23423933649251
a06de818,6,1,0.11328,605.3515527568123
d531f652,6,0,0.2041,4.880905896134323
7778c917,6,0,0.09127,21.49151085321298
205e19b2,6,5,0.24112,359.9070798095399
9a312f28,6,1,0.02025,345.3379378391712
0eb837a8,6,0,0.05908,16.711229946524064
0f9ed4e2,6,0,0.36267,102.2646438018342
c2be3453,6,2,4.82075,14.072127481246048
e24cd8b8,6,0,0.02154,322.5806451612903
550e54c5,6,0,0.06281,361.0108303249097
156ec693,6,0,0.03411,348.10295570448295
cf35c6c5,6,1,0.0299,234.82053002348206
14298a4c,6,1,0.05112,499.1307046605452
5e125303,6,0,0.23052,147.48586907469345
21255d80,6,0,0.02245,781.25
55a7fd48,6,0,0.01955,826.4462809917355
a4728441,6,0,0.02112,235.6875334403424
acd4504e,6,0,0.0068,143.47202295552367
8ccec174,6,0,0.02643,300.52592036063106
a4a399e0,6,0,0.54413,266.6571982027873
d4270efc,6,1,0.09319,577.6913723998654
957796e0,6,0,0.03633,511.75025200460453
78ce3bab,6,0,0.01063,274.72527472527474
60760148,6,0,0.03055,328.0950106275678
5eac0b24,6,1,0.10868,307.64378520032426
5cafec9f,6,0,0.00748,271.37042062415196
ad8153f8,6,1,0.06465,153.63343063450608
78eaa11e,6,0,0.08117,122.59409096481549
1f9012d1,6,0,0.05372,98.69695356994559
8d66d502,6,0,0.06776,500.13004464866265
1a1685ad,6,2,0.08444,399.34225980737614
afbc2e22,6,1,0.00942,414.9377593360996
2e23216d,6,0,0.03921,353.5353535353535
